MCU,SE,IBGE,UNIDADE,ENDERECO,COMPLEMENTO,NUMERO,BAIRRO,CIDADE,MUNICIPIO,UF,CEP
20748,RS,4305871,AC CORONEL BARROS,RUA DA IMIGRACAO,ESQUINA,341,CENTRO,CORONEL BARROS,CORONEL BARROS,RS,98735970
424767,RS,4305850,AC COQUEIROS DO SUL,RUA CARLOS STERLIG,0,455,CENTRO,COQUEIROS DO SUL,COQUEIROS DO SUL,RS,99528970
426478,RS,4305835,AC COQUEIRO BAIXO,AVENIDA ITALIA,0,,CENTRO,COQUEIRO BAIXO,COQUEIRO BAIXO,RS,95955971
20628,RS,4305801,AC CONSTANTINA,RUA HERMINIO CALEFFI,0,101,CENTRO,CONSTANTINA,CONSTANTINA,RS,99680970
20627,RS,4305702,AC CONDOR,RUA COMERCIO,0,625,CENTRO,CONDOR,CONDOR,RS,98290970
20429,RS,4305603,AC COLORADO,AVENIDA BOA ESPERANCA,0,802,CENTRO,COLORADO,COLORADO,RS,99460970
61772,RS,4305587,AC COLINAS,RUA OLAVO BILAC,SALAS 06,226,CENTRO,COLINAS,COLINAS,RS,95895971
20428,RS,4305504,AC CIRIACO,AVENIDA DEZENOVE DE MAIO,0,743,CENTRO,CIRIACO,CIRIACO,RS,99970970
20659,RS,4305454,AC CIDREIRA,RUA OSVALDO ARANHA,0,3563,CENTRO,CIDREIRA,CIDREIRA,RS,95595970
61768,RS,4305447,AC CHUVISCA,AVENIDA VINTE E OITO DE DEZEMBRO,0,3117,CENTRO,CHUVISCA,CHUVISCA,RS,96193975
20522,RS,4305439,AC CHUI,AVENIDA URUGUAI,0,1534,CENTRO,CHUI,CHUI,RS,96255970
20608,RS,4305405,AC CHIAPETTA,RUA CARVI,SALA 01,700,CENTRO,CHIAPETTA,CHIAPETTA,RS,98760970
61774,RS,4305371,AC CHARRUA,RUA LUIS CAUS,SALAS 101,33,CENTRO,CHARRUA,CHARRUA,RS,99960975
20404,RS,4305355,AC CHARQUEADAS,RUA JOSE ATHANASIO,0,335,CENTRO,CHARQUEADAS,CHARQUEADAS,RS,96745970
20626,RS,4305306,AC CHAPADA,RUA DA REPUBLICA,0,210,CENTRO,CHAPADA,CHAPADA,RS,99530970
20594,RS,4305207,AC CERRO LARGO,RUA SENADOR PINHEIRO MACHADO,PREDIO PROPRIO DA ECT,417,CENTRO,CERRO LARGO,CERRO LARGO,RS,97900970
20694,RS,4305173,AC CERRO GRANDE DO SUL,AVENIDA ARTHUR EMILIO JENISCH,SALAS 102,355,CENTRO,CERRO GRANDE DO SUL,CERRO GRANDE DO SUL,RS,96770970
20701,RS,4305157,AC CERRO GRANDE,AVENIDA PRIMEIRO DE MAIO,0,1391,CENTRO,CERRO GRANDE,CERRO GRANDE,RS,98340970
20710,RS,4305132,AC CERRO BRANCO,RUA OSCAR LAMB,0,108,CENTRO,CERRO BRANCO,CERRO BRANCO,RS,96535970
37391,RS,4305124,AC CERRITO,PRACA LUIS SIQUEIRA,0,53,CENTRO,CERRITO,CERRITO,RS,96395970
20361,RS,4314902,AC CENTRAL DE PORTO ALEGRE,RUA SIQUEIRA CAMPOS,0,1100,CENTRO HISTORICO,PORTO ALEGRE,PORTO ALEGRE,RS,90001970
426472,RS,4305116,AC CENTENARIO,AVENIDA ANTONIO MENEGATTI,0,397,CENTRO,CENTENARIO,CENTENARIO,RS,99838971
20396,RS,4305108,AC CAXIAS DO SUL,RUA SINIMBU,TERREO,1951,CENTRO,CAXIAS DO SUL,CAXIAS DO SUL,RS,95020972
20584,RS,4305009,AC CATUIPE,RUA CORONEL BICACO,0,550,CENTRO,CATUIPE,CATUIPE,RS,98770970
56667,RS,4315602,AC CASSINO,AVENIDA RIO GRANDE,0,45,CASSINO,RIO GRANDE,RIO GRANDE,RS,96207970
20681,RS,4304952,AC CASEIROS,AVENIDA JOSE CIRINO RODRIGUES,0,191,CENTRO,CASEIROS,CASEIROS,RS,95315970
20427,RS,4304903,AC CASCA,RUA CARLOS BARBOSA,0,283,CENTRO,CASCA,CASCA,RS,99260970
20473,RS,4304804,AC CARLOS BARBOSA,RUA BUARQUE DE MACEDO,0,4085,CENTRO,CARLOS BARBOSA,CARLOS BARBOSA,RS,95185970
20535,RS,4304705,AC CARAZINHO,AVENIDA FLORES DA CUNHA,0,1197,CENTRO,CARAZINHO,CARAZINHO,RS,99500970
60327,RS,4304713,AC CARAA,RUA LOURENCO CORREIA GOMES,0,205,CENTRO,CARAA,CARAA,RS,95515971
46805,RS,4304671,AC CAPIVARI DO SUL,AVENIDA TELMO SESSIM,0,1758,CENTRO,CAPIVARI DO SUL,CAPIVARI DO SUL,RS,95552971
426338,RS,4304697,AC CAPITAO,RUA AUGUSTO RITT,0,28,CENTRO,CAPITAO,CAPITAO,RS,95935971
20668,RS,4304689,AC CAPELA DE SANTANA,AVENIDA CORONEL ORESTES LUCAS,0,2170,CENTRO,CAPELA DE SANTANA,CAPELA DE SANTANA,RS,95745970
